Name,Example Value,Not Double
'EPCursor.Data.Amp',388.2053833,
'EPCursor.Data.Lat',5.25,
'EPFreerunWaveform.Data.HffCutoff',1000,
'EPFreerunWaveform.Data.LeftDisplayGain',200,
'EPFreerunWaveform.Data.LffCutoff',10,
'EPFreerunWaveform.Data.NotchCutoff',-1,
'EPFreerunWaveform.Data.OriginalSampFreq',60000,
'EPFreerunWaveform.Data.Range',1000,
'EPFreerunWaveform.Data.RightDisplayGain',5000,
'EPFreerunWaveform.Data.SampFreq',60000,
'EPFreerunWaveform.Data.SavedStimIntensity',0,
'EPFreerunWaveform.Data.Timebase',10,
'EPFreerunWaveform.Data.TriggerDelay',0,
'EPGroup.Data.CaptureThreshold',0,
'EPGroup.Data.TriggerDelay',0,
'EPPatient.Data.Info.Personal.Height',0,
'EPPatient.Data.Info.Personal.Weight',0,
'EPStudy.Data.CreationTime',41178.46708,x
'EPStudy.Data.Duration',0.316759259,
'EPStudy.Data.ModificationTime',41178.46708,x
'EPTest.Data.CreationTime',41178.46777,x
'EPTest.Data.Settings.CursorCalc.000.AlarmLevel',0,
'EPTest.Data.Settings.CursorCalc.000.NegAlarmLevel',0,
'EPTest.Data.Settings.CursorDef.000.LatencyFrom',19,
'EPTest.Data.Settings.CursorDef.000.LatencyTo',29,
'EPTest.Data.Settings.EEG.AlphaMax',13,
'EPTest.Data.Settings.EEG.AlphaMin',7.5,
'EPTest.Data.Settings.EEG.BetaMax',30,
'EPTest.Data.Settings.EEG.BetaMin',13,
'EPTest.Data.Settings.EEG.Delay',5,
'EPTest.Data.Settings.EEG.DeltaMax',3.5,
'EPTest.Data.Settings.EEG.DeltaMin',0,
'EPTest.Data.Settings.EEG.Duration',300,
'EPTest.Data.Settings.EEG.Epoch',2,
'EPTest.Data.Settings.EEG.SpectralEdge',90,
'EPTest.Data.Settings.EEG.ThetaMax',7.5,
'EPTest.Data.Settings.EEG.ThetaMin',3.5,
'EPTest.Data.Settings.GroupDef.000.CaptureThreshold',0,
'EPTest.Data.Settings.GroupDef.000.PreTriggerTriggerDelay',0,
'EPTest.Data.Settings.GroupDef.000.TriggerDelay',0,
'EPTest.Data.Settings.IChans.000.EventThreshold',250,
'EPTest.Data.Settings.IChans.000.HardwareLFF',0,
'EPTest.Data.Settings.IChans.000.Range',250,
'EPTest.Data.Settings.IChans.000.SamplingFreq',60000,
'EPTest.Data.Settings.IChans.000.SquelchThreshold',160,
'EPTest.Data.Settings.IChans.000.ThresholdDelay',4,
'EPTest.Data.Settings.ManufacturingTest.AllowedCrossTalkRatio',1000,
'EPTest.Data.Settings.ManufacturingTest.AllowedDCOffset',50,
'EPTest.Data.Settings.ManufacturingTest.AllowedDeviationPercent',5,
'EPTest.Data.Settings.ManufacturingTest.AllowedNoiseLevel',0,
'EPTest.Data.Settings.ManufacturingTest.MinCrossTalkRatio',10000,
'EPTest.Data.Settings.ManufacturingTest.ReferenceSignalFrequency',100,
'EPTest.Data.Settings.ManufacturingTest.ReferenceSignalP2P',1000,
'EPTest.Data.Settings.OChans.000.HffCutoff',1000,
'EPTest.Data.Settings.OChans.000.LeftDisplayGain',2,
'EPTest.Data.Settings.OChans.000.LffCutoff',30,
'EPTest.Data.Settings.OChans.000.MaxUserVariation',0,
'EPTest.Data.Settings.OChans.000.NotchCutoff',-1,
'EPTest.Data.Settings.OChans.000.RightDisplayGain',2,
'EPTest.Data.Settings.OChans.000.Timebase',5,
'EPTest.Data.Settings.Stims.000.2ndPulseIntensity',0,
'EPTest.Data.Settings.Stims.000.InitIntensity',0,
'EPTest.Data.Settings.Stims.000.Intensity',0,
'EPTest.Data.Settings.Stims.000.InterPulseDuration',2,
'EPTest.Data.Settings.Stims.000.MaskIntensity',0,
'EPTest.Data.Settings.Stims.000.PrimingGap',0,
'EPTest.Data.Settings.Stims.000.PulseDuration',30,
'EPTest.Data.Settings.Stims.000.PulseIntensity',0,
'EPTest.Data.Settings.Stims.000.Range',1000,
'EPTest.Data.Settings.Stims.000.Rate',11.1,
'EPTest.Data.Settings.Stims.000.TrainRate',0.2,
'EPTest.Data.Settings.Stims.000.TriggerToStimLat',0,
'EPTriggeredWaveform.Data.AppliedHWFilterHFF',1000,
'EPTriggeredWaveform.Data.AppliedHWFilterLFF',10,
'EPTriggeredWaveform.Data.HffCutoff',1000,
'EPTriggeredWaveform.Data.LeftDisplayGain',150,
'EPTriggeredWaveform.Data.LffCutoff',10,
'EPTriggeredWaveform.Data.NotchCutoff',60,
'EPTriggeredWaveform.Data.OriginalSampFreq',60000,
'EPTriggeredWaveform.Data.Range',1000,
'EPTriggeredWaveform.Data.RightDisplayGain',150,
'EPTriggeredWaveform.Data.SampFreq',60000,
'EPTriggeredWaveform.Data.SavedStimIntensity',50,
'EPTriggeredWaveform.Data.Timebase',15,
'EPTriggeredWaveform.Data.TriggerDelay',0,
